@relation 'Free-Converter.com-sensor_test_fe_double_20_sec_shuffle_v2-84495343-weka.filters.unsupervised.attribute.Remove-R2,4-8,13,15-16,18,20-21,23-29,31-35,37,39-40,42-44,46-47,50-51,54,58-64,66-67,69-72,74-93,96,100,103,105,107-108,110-114'

@attribute AX-MinRed numeric
@attribute AX-MinInc numeric
@attribute AX-SqMean numeric
@attribute AX-GeoMean numeric
@attribute AX-HaMean numeric
@attribute AX-QuaMean numeric
@attribute AX-StdDev numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-MinInc numeric
@attribute AY-HaMean numeric
@attribute AY-Kurtosis numeric
@attribute AY-InqRan numeric
@attribute AZ-MinInc numeric
@attribute AZ-Ranj numeric
@attribute AZ-GeoMean numeric
@attribute AZ-HaMean numeric
@attribute AZ-StdDev numeric
@attribute AZ-Variance numeric
@attribute AZ-Kurtosis numeric
@attribute AZ-Skewness numeric
@attribute AZ-InqRan numeric
@attribute GX-AritMean numeric
@attribute GX-HaMean numeric
@attribute GX-CoVar numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-MaxRed numeric
@attribute GZ-MinInc numeric
@attribute GZ-MaxInc numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-SqMean numeric
@attribute GZ-HaMean numeric
@attribute GZ-StdDev numeric
@attribute Mode {Araba,Yurume,Tramvay,Met-Mar,Hafif_Rayli,Oto-Mbus}

@data
0.000017,0.000005,0.000157,0.003166,-0.007176,0.012536,0.012538,59.374637,0.007466,0.000001,-0.002862,10.054602,0.00463,0.000009,0.156904,0.004493,0.003578,0.010714,0.000115,9.097805,-0.151802,0.009365,-0.000355,-0.005649,-26.747712,0.338259,0.010691,0.445893,0.000015,0.451269,0.448546,0.689941,0.000597,0.012497,0.024433,Met-Mar
0.000098,0.000181,0.13654,0.171691,-0.348217,0.369513,0.344248,4.2381,0.421243,0.000428,-0.032515,3.543482,0.669946,0.000013,3.5035,0.29759,-1.885865,0.547517,0.299775,3.125495,-0.134881,0.739906,0.001413,-0.480135,1338.69791,0.683606,1.621578,3.038524,0.000074,2.939665,1.69646,4.27473,0.349651,-0.340637,0.587943,Yurume
0.000005,0.000006,0.001101,0.017405,0.06673,0.03318,0.032917,3.339373,0.045648,0,-0.006985,5.142297,0.060079,0.000026,0.437234,0.021289,0.048174,0.044928,0.002019,4.771405,-0.180124,0.054201,-0.000015,-0.017251,-1848.295623,0.29416,0.066096,0.069225,0,0.05238,0.088775,0.179815,0.000531,0.051826,0.022836,Araba
0.00003,0.000208,0.002536,0.018589,-0.099361,0.050356,0.050245,7.861858,0.045844,0.000141,-0.016313,6.638818,0.046608,0.000027,0.65425,0.022851,-0.034065,0.060833,0.003701,8.211669,-0.121231,0.053327,-0.002198,0.010984,-27.181949,0.094092,0.096686,1.027127,0.000084,0.959723,0.915538,1.393224,0.01083,0.025653,0.103863,Araba
0.000065,0.000066,0.004217,0.025647,0.045706,0.064938,0.064951,9.725253,0.060325,0.000068,0.059279,5.432723,0.071609,0.000057,1.064344,0.025096,0.499038,0.062716,0.003933,12.582906,-0.094298,0.059439,0.000781,0.213975,137.563962,9.412877,0.104618,1.532957,0.000055,1.452954,1.19337,2.71837,0.011731,-0.004744,0.108237,Araba
0.000062,0.000009,0.000867,0.011459,0.01446,0.029441,0.02931,6.162302,0.028046,0.000079,0.260108,11.423309,0.029192,0.000027,0.441857,0.011047,0.162071,0.030146,0.000909,9.093993,-0.77747,0.025483,-0.002529,-0.009622,-21.209847,0.035884,0.086812,0.219619,0.000021,0.21723,0.190584,0.379506,0.001188,-0.020415,0.034469,Oto-Mbus
0.000001,0.000005,0.00019,0.005768,-0.00067,0.013793,0.013681,7.514775,0.01458,0,-0.006845,3.863402,0.010103,0,0.134445,0.008789,-0.008808,0.01838,0.000338,3.590356,-0.042801,0.021845,0.001587,-0.002656,7.114366,0.071486,0.028815,0.133334,0.000001,0.121393,0.105924,0.194801,0.000866,0.011788,0.020858,Met-Mar
0.000006,0.000011,0.000154,0.00451,-0.004043,0.012423,0.012416,7.641468,0.010726,0.000025,-0.017163,6.126558,0.015236,0.000015,0.262978,0.007578,-0.002334,0.020549,0.000422,7.075298,0.001987,0.018017,0.000957,0.015615,17.165071,-2.880289,0.022128,0.155839,0.000036,0.139666,0.14372,0.281724,0.000354,0.012065,0.018704,Hafif_Rayli
0.000023,0.000006,0.000199,0.00607,-0.000316,0.014095,0.014031,23.487225,0.014692,0.000001,0.009331,4.825215,0.025661,0.000062,0.220384,0.005087,-0.003853,0.011686,0.000137,18.939844,0.287406,0.012189,0.000274,0.048524,98.828293,-0.040417,0.043407,0.257609,0.000003,0.257701,0.259002,0.435898,0.00017,0.007733,0.013028,Met-Mar
0.000001,0.000007,0.000179,0.005843,0.012881,0.013393,0.013382,15.796368,0.014647,0,0.003589,3.60407,0.011681,0,0.145435,0.010754,0.031881,0.021766,0.000474,2.953444,0.024099,0.027831,-0.002423,-0.007222,-6.749612,0.190909,0.034152,0.093528,0.000004,0.094549,0.044626,0.136741,0.000172,0.001384,0.013007,Met-Mar
