@relation 'Free-Converter.com-sensor_test_fe_double_40_sec_shuffle_v2-14995334-weka.filters.unsupervised.attribute.Remove-R2,4-8,11,13,15-16,18,20-29,31-35,37,39-42,46,48-51,54,56,58-69,71-72,74-76,78-86,88-92,96-98,100,103-105,107-108,110-114'

@attribute AX-MinRed numeric
@attribute AX-MinInc numeric
@attribute AX-SqMean numeric
@attribute AX-GeoMean numeric
@attribute AX-QuaMean numeric
@attribute AX-StdDev numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-HaMean numeric
@attribute AY-Kurtosis numeric
@attribute AY-InqRan numeric
@attribute AZ-Min numeric
@attribute AZ-Max numeric
@attribute AZ-Ranj numeric
@attribute AZ-SqMean numeric
@attribute AZ-StdDev numeric
@attribute AZ-Variance numeric
@attribute AZ-Kurtosis numeric
@attribute AZ-InqRan numeric
@attribute GX-Median numeric
@attribute GX-CoVar numeric
@attribute GY-MinRed numeric
@attribute GY-HaMean numeric
@attribute GY-Kurtosis numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-MaxInc numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-HaMean numeric
@attribute GZ-StdDev numeric
@attribute Mode {Hafif_Rayli,Tramvay,Yurume,Met-Mar,Oto-Mbus,Araba}

@data
0.000098,0.000181,0.137447,0.169469,0.370739,0.345601,4.093347,0.417729,-0.06547,3.612831,0.649165,-1.93926,1.91267,3.85193,0.302083,0.547449,0.299701,3.19389,0.740429,-0.342041,-147.552268,0.000418,-1.833477,3.888274,0.71843,1.586939,3.112455,1.69646,4.27473,-0.032449,0.596077,Yurume
0.000015,0.000012,0.000191,0.005767,0.013819,0.013767,23.461688,0.013897,-0.052169,4.595583,0.02573,-0.186475,0.13573,0.322205,0.000147,0.012131,0.000147,38.168025,0.012445,-0.000723,-38.498494,0.000012,0.014426,9.718903,-0.112808,0.042607,0.152199,0.155271,0.286551,0.002255,0.011808,Met-Mar
0.000004,0.000002,0.000791,0.012081,0.02812,0.028122,6.26656,0.029892,0.023658,8.96183,0.051212,-0.205503,0.129412,0.334915,0.00062,0.024902,0.00062,7.344032,0.025859,0.000634,51.946754,0.000033,0.076921,5.066326,0.053211,0.128452,0.219378,0.192762,0.330556,-0.008363,0.032379,Oto-Mbus
0.000007,0.000005,0.000481,0.006183,0.021929,0.02191,9.016048,0.014241,0.001629,12.856326,0.010401,-0.162343,0.103384,0.265727,0.000242,0.01557,0.000242,12.423704,0.011523,0.000961,70.428702,0.000039,0.027214,9.451082,0.170375,0.059148,0.179611,0.17529,0.303768,-0.07985,0.02165,Tramvay
0.000005,0.000013,0.000164,0.004629,0.012811,0.012812,7.021267,0.010931,0.002963,5.779411,0.015241,-0.105387,0.162757,0.268144,0.000415,0.020296,0.000412,7.155795,0.017148,0.000795,21.03286,0.000003,0.034165,26.660253,-1.049821,0.022976,0.173326,0.16272,0.301837,-0.012247,0.019388,Hafif_Rayli
0.000005,0.000013,0.000277,0.005685,0.016655,0.016653,10.457505,0.013318,0.007864,18.109935,0.013127,-0.161223,0.237271,0.398494,0.000428,0.020678,0.000428,19.001226,0.014181,0.000775,14.897562,0.000002,0.003824,12.807744,-0.150092,0.023302,0.141002,0.140313,0.266093,-0.00336,0.021496,Tramvay
0.000932,0.000216,0.137688,0.170127,0.371064,0.348791,4.018262,0.415802,0.354366,3.353612,0.679032,-2.71562,1.93239,4.64801,0.304101,0.550471,0.303018,3.302555,0.745249,-0.251816,103.448851,0.004443,-0.630935,4.043582,0.81183,1.589697,3.40109,1.60894,4.54487,1.270935,0.604945,Yurume
0.000003,0.000011,0.000149,0.003213,0.012203,0.012203,96.403061,0.007266,0.006318,14.070376,0.004915,-0.174806,0.077299,0.252105,0.000135,0.011255,0.000127,22.634979,0.009754,-0.000396,-21.854997,0.000003,0.005494,414.916256,12.037378,0.010167,0.692489,0.692912,1.281323,0.012148,0.026229,Met-Mar
0.000045,0.000012,0.003835,0.025087,0.061924,0.06187,7.830759,0.060484,-0.236648,5.918432,0.073462,-0.578506,0.927381,1.505887,0.00402,0.06336,0.004015,25.844308,0.060449,-0.001395,-27.210812,0.000079,-0.025517,129.918699,1.927442,0.108369,1.681517,1.65427,2.592087,0.021987,0.107475,Araba
0.000003,0.000005,0.000171,0.005916,0.013089,0.01309,7.149948,0.015133,0.001405,4.225718,0.009969,-0.095066,0.102791,0.197857,0.000372,0.019125,0.000366,4.177146,0.023025,-0.000494,-72.774779,0.000007,0.035764,4.525487,-0.076303,0.032688,0.08974,0.085294,0.136664,-0.039014,0.012597,Met-Mar
0.000011,0.000053,0.000285,0.006876,0.016888,0.016852,5.69099,0.016684,-0.020184,6.899229,0.029679,-0.103662,0.08986,0.193522,0.000229,0.015131,0.000229,7.027529,0.014763,0.000528,63.804532,0.000006,0.015074,6.958964,0.194919,0.041796,0.122274,0.074472,0.179826,-0.001862,0.01601,Hafif_Rayli
0,0.000003,0.000132,0.005333,0.011502,0.011461,8.604836,0.013665,-0.009906,3.641306,0.010257,-0.100392,0.10033,0.200722,0.000519,0.022646,0.000513,3.323937,0.028261,-0.000529,-23.606137,0.000002,0.018339,4.198984,-0.095399,0.035228,0.071873,0.074482,0.133654,0.002965,0.012459,Met-Mar
0.00001,0.000025,0.001223,0.013993,0.034973,0.034966,9.077882,0.032654,0.003564,6.702525,0.031953,-0.674719,0.705272,1.379991,0.003053,0.055264,0.003054,26.979886,0.044804,-0.000838,-11.947996,0.000003,0.025241,50.365657,1.550724,0.050661,0.52512,0.320355,0.694535,0.016892,0.085169,Oto-Mbus
0.000008,0.000005,0.000286,0.007208,0.016897,0.016863,4.583855,0.017491,0.016464,7.14194,0.032992,-0.096078,0.085418,0.181496,0.000227,0.015067,0.000227,6.757221,0.015045,0.000681,92.16863,0.00001,0.029839,9.263643,0.632152,0.043896,0.097718,0.086856,0.18921,-0.000146,0.015996,Hafif_Rayli
0.000011,0.000001,0.002623,0.017675,0.051217,0.051224,16.785121,0.042374,-0.00144,12.124395,0.048492,-0.282249,0.489607,0.771856,0.003328,0.057599,0.003318,7.915058,0.056024,-0.001535,-39.494029,0.00017,0.0124,16.068478,-0.277812,0.096523,0.926519,0.874953,1.484525,-8.263908,0.098516,Araba
0.000208,0.000019,0.114737,0.170775,0.338729,0.338073,3.661469,0.417334,-0.199676,3.340342,0.707078,-2.26996,2.29784,4.5678,0.341111,0.582737,0.339583,3.272922,0.820053,-0.161253,98.667521,0.000105,0.480033,4.32565,0.793651,1.436354,3.56862,1.62511,4.85068,-1.845792,0.601767,Yurume
0.000014,0.00001,0.003931,0.020969,0.062694,0.062702,16.370683,0.049141,0.001086,17.143993,0.041299,-0.688348,0.74854,1.436888,0.007534,0.086804,0.007535,12.271654,0.072858,0.00176,73.453819,0.000006,-0.022592,25.965728,-0.270008,0.116091,1.064846,0.622309,1.679009,0.034884,0.066666,Oto-Mbus
0.000001,0.000002,0.000143,0.005556,0.011939,0.01194,7.837867,0.014745,0.005444,4.385241,0.00822,-0.09197,0.132005,0.223975,0.000621,0.024779,0.000614,3.425112,0.03044,-0.000742,-15.042832,0.000002,0.097524,4.072947,-0.019587,0.036352,0.089882,0.076694,0.159299,-0.005592,0.012607,Met-Mar
0.000004,0.000006,0.000171,0.004435,0.013062,0.012921,49.054658,0.009776,-0.022241,6.767553,0.01242,-0.053954,0.121157,0.175111,0.000099,0.009933,0.000099,15.28341,0.009488,-0.000286,-105.427046,0.000005,0.052769,9.561171,0.457862,0.036214,0.370433,0.363378,0.523181,-0.000987,0.013789,Met-Mar
0.000003,0.000018,0.000164,0.004607,0.012794,0.012787,7.443638,0.010939,-0.007037,6.546447,0.014784,-0.154232,0.145919,0.300151,0.000427,0.020608,0.000425,6.884047,0.017904,0.000775,23.149572,0,0.03115,28.186197,-0.529921,0.022005,0.200372,0.166832,0.370438,0.021598,0.01975,Hafif_Rayli
0.000071,0.000003,0.002704,0.018118,0.051996,0.051987,11.834443,0.043512,0.003675,14.282243,0.048256,-0.378891,0.419453,0.798344,0.003923,0.06259,0.003918,7.501456,0.059619,-0.00094,-38.441441,0.000021,-0.007998,14.67571,0.430011,0.094089,0.869041,0.83722,1.534499,-0.034884,0.098512,Araba
0.000006,0.000001,0.00019,0.005901,0.013797,0.013747,14.793342,0.013902,0.028034,4.187108,0.025132,-0.176328,0.126214,0.302542,0.000142,0.011897,0.000142,31.874389,0.012709,-0.000138,-155.134654,0.000004,-0.000112,16.666097,0.875382,0.04246,0.207181,0.218029,0.390889,0.007465,0.012904,Met-Mar
0.000006,0.000003,0.002618,0.018557,0.05117,0.051151,13.346283,0.044093,-0.12208,16.316859,0.048174,-0.562273,0.34657,0.908843,0.00366,0.060505,0.003661,10.057671,0.055619,-0.001544,-57.414283,0.000075,-0.044609,15.762712,-0.152012,0.098589,1.157864,0.91365,1.584336,0.012974,0.102689,Araba
0.000001,0.000007,0.00014,0.004983,0.011823,0.011815,21.65004,0.01274,-0.004261,4.382652,0.009802,-0.100392,0.10033,0.200722,0.000399,0.019883,0.000395,3.538903,0.024656,-0.000486,-20.072084,0.000001,-2.748678,5.418675,0.143623,0.033151,0.1232,0.071439,0.168898,0.008946,0.013148,Met-Mar
0.000061,0.000036,0.001162,0.013428,0.034087,0.034072,10.499223,0.031187,-0.013208,8.312341,0.031911,-0.831054,0.616983,1.448037,0.002889,0.053758,0.00289,30.229504,0.041093,-0.000433,-18.430116,0.000028,-0.046208,32.396052,-0.25518,0.047922,0.428668,0.322412,0.702014,0.029925,0.082917,Oto-Mbus
0.000038,0.000004,0.001294,0.013874,0.035967,0.035961,13.191851,0.031923,0.016971,7.304238,0.031891,-0.469752,0.643354,1.113106,0.002803,0.052934,0.002802,18.598396,0.041629,-0.001286,-12.570603,0.000028,0.016695,70.326216,0.115477,0.048884,0.53284,0.315956,0.698296,0.123901,0.085281,Oto-Mbus
0.000001,0.000005,0.000127,0.003278,0.01125,0.011251,50.506573,0.007739,0.013184,15.81609,0.004687,-0.088671,0.068232,0.156904,0.000123,0.010755,0.000116,7.896675,0.009291,-0.000338,-31.63769,0.000007,0.00299,34.161855,0.396451,0.010479,0.452635,0.458165,0.745245,0.011436,0.024038,Met-Mar
0.000001,0.000001,0.000152,0.004348,0.012341,0.012319,14.240803,0.010212,-0.004002,6.962064,0.007664,-0.111207,0.124379,0.235586,0.00026,0.016027,0.000257,10.488511,0.013956,-0.000329,-37.000919,0,-0.001176,11.630688,0.354628,0.022902,0.100852,0.055423,0.141864,-0.001586,0.013866,Met-Mar
0.000016,0.000029,0.00028,0.006986,0.016719,0.016679,4.974637,0.01706,0.059459,8.205219,0.032767,-0.093588,0.094751,0.188339,0.000237,0.015378,0.000236,6.554338,0.015052,0.000754,40.650342,0.000016,0.064024,6.461097,0.228084,0.041577,0.13345,0.077757,0.194714,-0.003164,0.016263,Hafif_Rayli
0.000092,0.000087,0.146794,0.175477,0.383137,0.357621,3.837136,0.436147,0.221217,3.538131,0.676242,-2.022,1.76898,3.79098,0.304365,0.551223,0.303847,3.107205,0.753292,-0.327018,-46.295271,0.00028,-0.694309,4.128253,0.824096,1.583023,3.737691,1.81613,4.71803,-0.071028,0.618336,Yurume
0.000014,0.000001,0.00017,0.004664,0.013029,0.013024,8.015426,0.01079,0.009916,9.102742,0.014394,-0.162679,0.196697,0.359376,0.000438,0.020833,0.000434,8.839431,0.018345,0.000821,22.463915,0.000004,0.032143,41.847044,0.089706,0.022328,0.20445,0.17938,0.333543,0.019034,0.019347,Hafif_Rayli
0.000015,0.000003,0.003719,0.020277,0.060986,0.060993,19.396691,0.047972,0.068018,16.512102,0.045376,-0.908619,0.748776,1.657395,0.007311,0.085509,0.007312,13.398594,0.07188,0.000656,-268.472482,0.000026,0.330727,21.492263,-0.161597,0.112436,0.767795,0.598959,0.965989,-0.007683,0.063257,Oto-Mbus
0.000167,0.00007,0.142298,0.17395,0.377224,0.352051,4.027847,0.426734,-0.017458,3.218209,0.680409,-2.00237,1.60963,3.612,0.308006,0.553672,0.306553,3.157186,0.744846,-0.188203,55.857711,0.001033,2.380584,4.124133,0.83447,1.579244,2.901221,1.7014,4.42381,0.134863,0.585555,Yurume
0.000007,0.000007,0.000304,0.005742,0.017425,0.017418,19.585051,0.013545,-0.006967,13.87086,0.013585,-0.217828,0.222565,0.440393,0.000462,0.021486,0.000462,18.615572,0.013697,0.000481,25.463052,0.000001,0.008654,20.338809,0.956334,0.023556,0.181438,0.151371,0.279639,-0.017109,0.02199,Tramvay
0.000018,0.000019,0.002614,0.019969,0.051124,0.050572,9.74261,0.048638,0.044183,17.306843,0.056296,-0.386604,0.488956,0.87556,0.003834,0.061928,0.003835,8.181575,0.061705,-0.000599,-108.20453,0.000004,-0.29276,16.733853,1.09448,0.101105,0.846274,0.822525,1.418163,-0.179643,0.096686,Araba
0.000021,0.000025,0.000316,0.00563,0.017773,0.017774,15.726503,0.013189,0.001222,14.638369,0.013299,-0.234036,0.155497,0.389533,0.0004,0.019993,0.0004,14.36722,0.014013,0.000563,16.991743,0.000014,0.007622,17.685099,-0.337641,0.024905,0.21721,0.213416,0.417904,-0.016485,0.024066,Tramvay
0.000752,0.00007,0.1412,0.169024,0.375766,0.352552,4.158497,0.418732,-0.018514,3.14891,0.675483,-2.71562,1.65615,4.37177,0.304254,0.550932,0.303526,3.232199,0.755614,-0.209527,49.232194,0.001033,6.249441,4.221317,0.851109,1.566301,3.40109,1.60894,4.33135,0.467098,0.599962,Yurume
0,0.000006,0.000161,0.004498,0.012685,0.01254,36.759297,0.010202,-0.011549,8.083519,0.012482,-0.077092,0.086746,0.163838,0.000098,0.009877,0.000098,11.418565,0.009048,0.000607,-34.250012,0.00002,0.020316,12.701813,-0.258977,0.036219,0.220603,0.210434,0.435791,-0.002898,0.0126,Met-Mar
0.000002,0.000025,0.000279,0.005675,0.016699,0.0167,19.721166,0.013485,-0.02914,12.646945,0.012856,-0.218226,0.258032,0.476258,0.000412,0.020284,0.000411,22.289557,0.013935,0.000635,16.06211,0.000009,0.005172,13.005242,0.275208,0.023337,0.211976,0.214674,0.376113,0.001316,0.022479,Tramvay
0.000011,0.00001,0.000483,0.005891,0.02198,0.021971,13.356109,0.013663,-0.001283,13.78205,0.010677,-0.144516,0.157009,0.301525,0.000221,0.014868,0.000221,15.109278,0.010506,0.001008,40.095585,0.000015,-0.018432,8.322869,0.464019,0.058411,0.183369,0.126181,0.289257,-0.010885,0.021645,Tramvay
0.000003,0.000026,0.00089,0.011346,0.029839,0.029786,6.27287,0.027931,-0.004186,11.115467,0.028979,-0.182093,0.143493,0.325586,0.000939,0.030635,0.000939,6.733761,0.026393,-0.000331,-489.192176,0.000158,0.001806,6.764088,0.030386,0.082178,0.233265,0.228533,0.372415,-0.000889,0.033052,Oto-Mbus
0.000001,0.000035,0.001214,0.013925,0.034837,0.034838,14.691826,0.032336,-0.018165,10.888817,0.032462,-0.721391,0.624136,1.345527,0.002873,0.053602,0.002873,27.475568,0.041844,-0.000464,-18.534117,0.000038,-0.000656,50.599736,-1.529357,0.049766,0.490428,0.31733,0.806085,-0.005919,0.083512,Oto-Mbus
0.000004,0.000013,0.000162,0.004541,0.01274,0.012731,6.876256,0.010986,-0.006751,6.702884,0.014806,-0.125142,0.112722,0.237864,0.00042,0.020464,0.000419,6.265749,0.017464,0.000803,23.146905,0,0.058207,103.117523,2.226681,0.022229,0.200372,0.166832,0.370438,-0.002825,0.019822,Hafif_Rayli
0.000016,0,0.001298,0.017081,0.03603,0.035988,4.247721,0.042052,0.024017,7.092105,0.055153,-0.262864,0.190836,0.4537,0.00307,0.055403,0.003069,3.80745,0.068354,-0.001245,3195.008379,0,-0.060388,3.783263,0.036717,0.075576,0.060297,0.131084,0.28227,-0.215907,0.027978,Araba
0.000038,0.000028,0.001227,0.013943,0.035024,0.03502,8.645499,0.032537,-0.009252,6.203062,0.03281,-0.446099,0.638773,1.084872,0.002636,0.051332,0.002635,16.920881,0.041279,-0.001267,-11.219888,0.000028,-0.010579,47.577116,1.419929,0.047781,0.53284,0.31599,0.69833,-0.000257,0.086446,Oto-Mbus
0.000251,0.000135,0.14185,0.172792,0.37663,0.352095,4.165746,0.413846,-0.330756,3.345193,0.655496,-1.85703,1.59584,3.45287,0.299627,0.546508,0.298671,3.066389,0.763686,-0.154567,21.603939,0.001625,0.76417,4.039675,0.785808,1.606354,3.87268,2.0512,4.79907,1.068401,0.61336,Yurume
0.000001,0.000007,0.000158,0.003298,0.012579,0.012579,76.296458,0.00783,0.001935,10.641084,0.004754,-0.185967,0.071686,0.257653,0.000156,0.012196,0.000149,28.149093,0.010196,-0.000303,-72.681231,0.00001,0.002507,130.589197,2.368529,0.010675,0.699794,0.258272,0.92902,-0.000991,0.024726,Met-Mar
0.000001,0.000006,0.000153,0.004552,0.012358,0.012196,17.916776,0.010234,0.011177,7.189334,0.012523,-0.077092,0.079124,0.156216,0.000099,0.009938,0.000099,9.623054,0.009106,0.000556,-41.814952,0.00002,0.028686,11.913212,0.103817,0.036234,0.220603,0.156849,0.382206,-0.002428,0.012202,Met-Mar
0.000023,0.000006,0.000202,0.005994,0.014216,0.01417,21.005792,0.014637,0.009508,4.765844,0.026024,-0.117557,0.163037,0.280594,0.000139,0.011791,0.000139,22.952096,0.012366,0.000842,27.545474,0.000008,0.005654,13.954108,-0.181595,0.042369,0.264099,0.263175,0.440071,0.027407,0.012646,Met-Mar
0.000012,0.000025,0.000304,0.005563,0.017448,0.01745,18.921635,0.013141,0.002981,15.684688,0.013441,-0.159079,0.155497,0.314576,0.000407,0.020178,0.000407,11.265324,0.013802,0.000723,19.514844,0.000014,0.011143,14.589505,-0.164571,0.02245,0.19094,0.193963,0.366532,-0.011762,0.02331,Tramvay
0.000013,0,0.000198,0.006037,0.014076,0.014025,15.183989,0.014599,0.020861,4.085186,0.026587,-0.113307,0.119616,0.232923,0.000125,0.011193,0.000125,14.039194,0.012234,-0.000216,506.049521,0.000028,0.004163,13.948466,-0.512898,0.042699,0.257701,0.259002,0.37132,-0.005184,0.012043,Met-Mar
0.000003,0,0.000167,0.004629,0.012916,0.012914,6.979942,0.01109,0.007764,7.214306,0.01517,-0.198338,0.15001,0.348348,0.00044,0.020953,0.000439,9.195875,0.018411,0.000752,19.521768,0.000001,0.023053,32.133237,-1.456712,0.023301,0.186405,0.142363,0.324116,-0.007838,0.019642,Hafif_Rayli
0.000006,0.000006,0.000872,0.011312,0.029529,0.029476,6.328579,0.026841,0.032107,21.539371,0.028149,-0.192524,0.148219,0.340743,0.00098,0.031265,0.000977,7.589163,0.026861,-0.000532,-29.712749,0.000144,-0.036103,7.718981,0.191835,0.084251,0.227948,0.208379,0.442109,-0.022037,0.03375,Oto-Mbus
0,0.000004,0.000147,0.003347,0.012125,0.012122,99.134455,0.007718,-0.002034,23.936894,0.00473,-0.117184,0.068399,0.185583,0.000125,0.010876,0.000118,11.311496,0.009674,-0.000341,-34.799767,0.000003,0.009285,782.123348,21.707604,0.010248,1.048092,0.70118,1.75822,0.001099,0.035449,Met-Mar
0.000003,0.000002,0.000183,0.005821,0.013526,0.01346,15.145577,0.013797,0.015865,3.911576,0.025752,-0.176328,0.139867,0.316195,0.000139,0.011804,0.000139,27.415255,0.012163,0.000023,1604.403042,0.000006,0.049325,16.226122,0.369977,0.043804,0.223244,0.2259,0.39876,-0.003361,0.013023,Met-Mar
