@relation 'Free-Converter.com-sensor_test_fe_double_60_sec_shuffle_v2-94975332-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-8,10-11,13-16,18,20-35,37-44,46,48-69,71-76,78-92,96-100,103-105,107-114'

@attribute AX-MinInc numeric
@attribute AX-Max numeric
@attribute AX-SqMean numeric
@attribute AX-QuaMean numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-Kurtosis numeric
@attribute AZ-Ranj numeric
@attribute AZ-SqMean numeric
@attribute GX-Median numeric
@attribute GY-MinRed numeric
@attribute GY-Kurtosis numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-HaMean numeric
@attribute Mode {Tramvay,Oto-Mbus,Met-Mar,Araba,Hafif_Rayli,Yurume}

@data
0.000002,0.193246,0.000148,0.012161,62.004454,0.007399,10.663663,0.165359,0.00013,-0.000362,0.000002,291.357492,7.976133,0.010028,0.481096,1.791986,-0.036382,Met-Mar
0.000004,0.231357,0.00015,0.012263,153.405595,0.007493,20.04713,0.163322,0.00012,-0.000359,0.000001,313.955311,-8.733497,0.010413,0.625241,1.919301,0.015434,Met-Mar
0.000164,1.44669,0.140957,0.375443,4.174051,0.416558,3.615936,3.957,0.304987,-0.292254,0.002385,4.069791,0.787977,1.581898,1.71832,4.3086,-0.049386,Yurume
0.000003,0.128918,0.000484,0.021994,10.75249,0.013929,16.811282,0.493661,0.000264,0.000984,0.000024,14.101625,0.786985,0.060134,0.192202,0.366717,-0.004943,Tramvay
0.000003,0.251106,0.00014,0.011843,87.093839,0.007376,12.709704,0.29182,0.000135,-0.000454,0.000002,481.619104,-1.977899,0.010394,0.692912,2.303932,0.013529,Met-Mar
0.000035,0.546535,0.001248,0.035324,22.101751,0.03225,10.190472,1.682806,0.003109,-0.000397,0.000038,81.165841,0.96652,0.048833,0.31733,0.806085,-0.011354,Oto-Mbus
0.000022,0.15839,0.000307,0.017521,15.75582,0.01363,9.851105,0.352344,0.000415,0.000632,0,13.981444,-0.647799,0.022369,0.248736,0.430822,-0.003165,Tramvay
0.000016,0.167459,0.000289,0.016999,13.993737,0.013337,8.965322,0.517533,0.000412,0.000221,0,19.578132,-0.003137,0.023218,0.201389,0.401899,0.043545,Tramvay
0.000002,0.113491,0.000192,0.013848,20.270463,0.014199,6.670577,0.305333,0.000139,-0.000236,0.000005,22.177797,-0.197461,0.04118,0.150124,0.390723,0.01431,Met-Mar
0.000003,0.452701,0.002681,0.051775,14.090504,0.042286,12.84777,0.868498,0.003651,-0.001094,0.000021,16.133373,0.237428,0.095989,0.847297,1.456869,-0.140146,Araba
0.000032,0.550983,0.003524,0.059362,15.562178,0.049526,18.550708,1.228175,0.006683,0.000563,0.000027,30.210549,-1.05817,0.114109,0.653201,1.591066,-0.000969,Oto-Mbus
0.000002,0.136327,0.000465,0.021575,9.201169,0.013846,14.37423,0.265727,0.000237,0.001012,0.000036,9.418214,0.233476,0.059551,0.17529,0.303768,-0.003603,Tramvay
0.000003,0.101122,0.000141,0.01186,15.096585,0.010005,7.194708,0.272637,0.000115,-0.000315,0.000008,12.768616,0.011142,0.03628,0.21961,0.465752,-0.002688,Met-Mar
0.000013,0.171091,0.000292,0.017094,17.327731,0.012857,8.891361,0.47566,0.000417,0.000386,0,16.137098,-0.251049,0.023203,0.201389,0.391246,-0.031748,Tramvay
0.000009,0.099437,0.000168,0.012959,8.499728,0.010983,7.982771,0.327215,0.000429,0.000902,0.000001,43.156676,0.01444,0.022563,0.181613,0.355939,-0.076535,Hafif_Rayli
0.000429,1.16982,0.115981,0.340559,3.777567,0.416102,3.214675,4.20115,0.34337,-0.238252,0.000143,4.312075,0.806465,1.51383,1.7121,4.6414,6.634909,Yurume
0.000008,0.233181,0.000763,0.027627,6.525237,0.029728,7.191692,0.339256,0.000603,0.001543,0.000054,6.981451,0.228753,0.122819,0.21655,0.368751,0.014542,Oto-Mbus
0.000059,0.139843,0.000843,0.029031,6.354913,0.027127,11.576472,0.379552,0.000907,0.000401,0.000041,7.180418,0.012243,0.084757,0.217607,0.463816,-0.019431,Oto-Mbus
